,y_return_ratio,TensorFlow__diff_1_shift_4,deep learning__diff_1_shift_4,Artificial Intelligence__diff_1_shift_19,Machine Learning__diff_1_shift_4,neural network__diff_1_shift_9,MXNet__diff_1_shift_9,blockchain_news_diff_1_shift_4,GPU_news_diff_1_shift_17,gaming_news_diff_1_shift_2,SandP_diff_1,NasdaqTech_diff_1,ATVI_gaming_diff_1,TTWO_gaming_diff_1,UBSFY_gaming_diff_1,fps_transformed_ffill_diff_1_shift_2,fps_transformed_interpolated_diff_1_shift_2,fps_interpolated_transformed_diff_1_shift_2,PLUS_DM_diff_1,MINUS_DM_diff_1_shift_8,AD_diff_1,OBV_diff_1,MIDPOINT_diff_1,MIDPRICE_diff_1,SAR_diff_1_shift_13,TEMA_diff_1,AVGPRICE_diff_1,MEDPRICE_diff_1,TYPPRICE_diff_1,WCLPRICE_diff_1,LINEARREG_diff_1,TSF_diff_1,ADD_diff_1,MAX_diff_1,MAXINDEX_diff_1,MIN_diff_1,MININDEX_diff_1_shift_19,MULT_diff_1,ATAN_diff_1,CEIL_diff_1,FLOOR_diff_1,LN_diff_1,LOG10_diff_1,SQRT_diff_1,ATVI_gaming_rr,TTWO_gaming_rr,AMD_rr,SandP_rr,NasdaqTech_rr
2016-12-06,0.0164345020603342,0.09999999999999433,0.13333333333332575,0.10000000000000142,0.06666666666666997,-0.2999999999999972,1.0,0.10000000000000142,-0.3333333333333428,-0.033333333333317235,11.144897500000297,37.2949219999996,0.5599994999999964,0.7100014999999971,0.010000000000000677,0.0,-4.3734987711195464e-06,-4.0658818528888714e-06,2.9178423242912985,-0.33875602681118977,8967493.250084937,15057100.0,1.275001500000002,0.15499850000000492,0.4401999000000103,0.31453983321007684,3.7149982499999936,3.8449975000000047,3.706665000000001,3.6374987500000064,-0.9285723999999932,-1.1619791208789962,7.6899950000000095,0.0,0.0,0.02999899999998945,13.0,683.63356724,0.00042200914551004937,3.0,3.0,0.03804595848129022,0.016523149827139868,0.18061956042158125,0.015692854360275087,0.0150312590779481,0.027202838557066664,0.0050854297682196405,0.013570326691110484
2016-12-07,0.01798908896015718,0.10000000000000142,0.13333333333333994,0.03333333333332433,0.06666666666666288,-0.09999999999999433,0.3333333333333428,0.09999999999999787,-0.3333333333333286,-0.09677419354837014,7.065063499999724,16.44506850000016,0.405000500000007,0.2649990000000031,-0.07500000000000108,0.0,-4.373498771119465e-06,-3.959883912331533e-06,0.01942901541340269,-0.3345641677532498,8544150.008356035,12469900.0,0.7249984999999981,0.4199984999999913,0.43139590199999134,0.5018437509935012,1.8550012500000008,1.8450009999999963,1.7333346666666931,1.677501499999991,-0.4114285428570952,-0.5538460879121203,3.6900019999999927,0.0,0.0,0.0,0.0,340.5662857099996,0.00017595660131020094,2.0,2.0,0.01630091724422922,0.007079398409130411,0.07844469609262994,0.011173969131576112,0.005527145687767447,0.05929763960852051,0.003207485299595457,0.005903674423452734
2016-12-08,-0.016724487219943168,0.10000000000000142,0.13333333333333286,0.03333333333334565,0.06666666666666997,-0.10000000000000853,0.3333333333333428,0.10000000000000142,-0.3333333333333286,-0.29032258064518146,16.290039499999693,40.41491649999989,0.4450020000000024,0.3200015000000036,0.125,0.0,-4.373498771119491e-06,-3.857538708923675e-06,0.4680392285980979,-0.3106667271994397,10292190.787171006,12020100.0,0.4549979999999039,0.025001500000001897,0.9971360079199912,0.6974268981942942,1.1024990000000088,1.0499989999999997,1.259999666666701,1.3649999999999096,0.5919996571427929,0.6452742967033203,2.099998,0.9099959999999924,8.0,0.0,0.0,194.2737109899899,0.0001891980945998295,2.0,2.0,0.01782919995708987,0.007743123158119758,0.08653449513668042,0.012141937409849141,0.006637658299889126,0.04402173913043491,0.0073719092188735316,0.014423544653932157
2016-12-09,-0.017757840679572968,0.09677419354838436,0.25806451612903913,0.03333333333332433,0.1612903225806548,-0.20000000000000284,0.6666666666666572,0.12903225806451954,-1.0,-0.09677419354837014,17.624877500000363,33.77001999999993,0.3249984999999995,0.9249994999999984,0.020000000000000462,-5.248198525343392e-05,-4.373498771119491e-06,-3.758690243843528e-06,0.18460785512679934,-0.28847624668520044,-7240785.994397998,-9538600.0,0.0,0.6599999999999966,1.5696760314048106,0.2759717106186201,0.7575034999999986,1.1350024999999988,0.2266693333333052,-0.22749724999999896,0.19342919999999708,0.21120947252750005,2.2700049999999976,0.0,0.0,0.0,0.0,213.36148331002,-0.0001788896538601481,-2.0,-2.0,-0.016865920607849638,-0.007324776252210174,-0.08187888043846138,0.008761247792374385,0.01906036452647468,0.053617907339927,0.007917610112528492,0.011880707801694665
2016-12-12,-0.024286691352646408,0.29032258064516725,0.7741935483870961,0.03333333333334565,0.4838709677419288,-0.2999999999999972,1.0,0.3870967741935374,-0.3333333333333321,-0.09677419354839856,10.970092500000193,8.170043500000247,-0.4249989999999997,0.3899995000000018,0.07500000000000018,0.0,0.0,0.0,-1.1485784202393,0.8021281995065994,-3597590.15842104,-9557800.0,0.0,0.0,1.4754954695204958,-0.10492089610291087,-1.835004500000096,-2.3450050000000005,-2.1166709999999966,-2.0025039999999024,-0.12599997142869768,-0.1284614945057143,-4.690010000000001,0.0,0.0,0.0,0.0,-439.26023541000916,-0.00019337586390966166,-2.0,-2.0,-0.017917402942010163,-0.007781429227749825,-0.08623042344635934,-0.01135753607696418,0.007885946820341763,0.02371541501976287,0.004889374027376987,0.0028405736231274085
2016-12-13,0.017635919974813858,0.09677419354838436,0.2580645161290249,0.0999999999999872,0.16129032258064058,-0.09999999999999433,0.3333333333333286,0.12903225806452312,-0.33333333333333925,-0.09677419354837014,3.2650149999999485,-26.91491649999989,-0.025002000000000642,0.04999899999999968,-0.07500000000000018,0.0,0.0,0.0,-1.066537104507999,0.10483532811328013,10542003.72125107,-15033300.0,0.0,0.0,1.3869657413493002,-0.539972719715081,-3.5175002499999977,-3.744999000000007,-3.2400006666667025,-2.9875015000000085,-0.7097149714283972,-0.7816490659338909,-7.489998000000013,0.0,0.0,0.0,0.0,-677.00850627001,-0.00027105413357020325,-2.0,-2.0,-0.024586476859430384,-0.010677771229499866,-0.11707609840332013,-0.000675821038631696,0.0010030895877529236,0.017374517374517347,0.0014481378290379279,-0.009331314377103118
2016-12-14,0.057913777732013436,0.09677419354838436,0.2580645161290249,0.033333333333338544,0.16129032258064058,-0.10000000000000853,0.3333333333333428,0.12903225806452312,-0.3333333333333286,-0.09677419354839856,9.625,19.249877499999908,0.3850004999999968,0.5450000000000017,0.13999999999999968,0.0,0.0,0.0,1.3496481172426016,6.997347090390881,-34.624674081802375,9694900.0,0.0,0.0,1.3037477968683078,-0.2272031705561943,1.6675015000000002,2.425003000000004,2.143336000000005,2.0025025000000056,-0.11085725714279704,-0.10065942857130494,4.850006000000008,0.0,0.0,0.0,0.0,436.49203959000886,0.00019341626892011016,2.0,2.0,0.01748221169812947,0.0075924280719599216,0.0830989674623499,0.010413862872974293,0.010922938498535113,0.009962049335863421,0.004262819979173085,0.006736732752926579
2016-12-15,0.02343185142867345,0.09677419354839144,0.25806451612903913,0.03333333333333144,0.1612903225806619,-0.09999999999999433,0.3333333333333286,0.1290322580645089,-0.3333333333333321,-0.29032258064518146,-6.7049560000000366,11.354980500000238,-0.3699984999999941,-0.12999900000000508,-0.09999999999999963,0.0,0.0,0.0,3.733240680296701,-0.8324644160656014,18738212.827669024,24599500.0,0.6899985000000015,0.2449990000000071,1.6708304920748986,0.7201144186272757,3.5175002500000967,3.1699985000000046,3.873331999999991,4.2249987499999975,1.3634281714285803,1.5459336483515926,6.339997000000013,1.379997000000003,5.0,0.0,0.0,581.6479246500003,0.0006003855596998786,5.0,5.0,0.056298834587761526,0.024450273199059902,0.2725977637529109,-0.009904925845334336,-0.002577299838738061,-0.014560826679192047,-0.0029569555912800785,0.003947224491053562
2016-12-16,0.01722221676853633,0.09677419354839144,0.25806451612903203,0.03333333333333144,0.16129032258063347,-0.16129032258064058,-0.09677419354838436,0.129032258064516,-1.0,-0.09677419354837014,-2.9150389999999784,7.460082999999486,-0.03999900000000167,-0.004998999999997977,-0.04499999999999993,0.0,0.0,0.0,1.4765816317041,-0.7730026720608993,4917364.971000017,18663700.0,1.1300010000000924,1.4150005000000048,1.5371640527089878,1.0025002333508155,3.6200004999999886,3.9299994999999934,3.373333666666696,3.095000749999997,1.900857799999912,2.1432975164835,7.859998999999987,2.260002,1.0,0.0,0.0,761.8412017499904,0.00023735579277972535,2.0,2.0,0.02316154005158033,0.010058929036779851,0.11439464785184934,-0.0010814924677166988,-9.936394453760792e-05,0.02669208770257382,-0.0012893752554387025,0.0025830821009091122
2016-12-19,0.0121501140464052,0.29032258064515304,0.7741935483870891,0.033333333333338544,0.483870967741936,-0.483870967741936,-0.29032258064515304,0.3870967741935516,-0.33333333333333925,-0.09677419354839856,4.540038999999979,-0.8150634999997237,-0.18500199999999006,-0.4999999999999858,0.07000000000000117,0.0,0.0,0.0,-0.6988944848463028,-0.7177881954851202,21616096.831710994,26861700.0,0.8500025000000022,0.3799974999999023,1.414190928492303,1.1474724226436024,1.6300012500000065,0.9450000000000074,1.1966683333333066,1.3225024999999988,2.200858800000092,2.470221659340609,1.8900000000000148,1.7000050000000044,1.0,0.0,0.0,187.20701559000008,0.00017150162817047845,2.0,2.0,0.01707559542889925,0.007415836869980374,0.08518864547902005,-0.0050074973605358074,-0.009939369745160541,0.002785515320334368,0.002010735174603379,-0.00028149171940677014
